@relation matoll
@attribute 'normalizedFrequency' numeric
@attribute 'averageLenght' numeric
@attribute 'overallRatioLabel' numeric
@attribute 'numberPattern' numeric
@attribute 'overallRatioEntries' numeric
@attribute 'SPARQLPattern_EN_7' {0,1}
@attribute 'SPARQLPattern_EN_8' {0,1}
@attribute 'SPARQLPattern_EN_1' {0,1}
@attribute 'SPARQLPattern_EN_2' {0,1}
@attribute 'SPARQLPattern_EN_3' {0,1}
@attribute 'SPARQLPattern_EN_4' {0,1}
@attribute 'SPARQLPattern_EN_5' {0,1}
@attribute 'pos_adjective' {0,1}
@attribute 'pos_commonNoun' {0,1}
@attribute 'pos_verb' {0,1}
@attribute 'class' {0,1}
@data
3,84.0,0.42857142857142855,1,0.004484304932735426,0,0,0,0,0,0,1,1,0,0,0
1,154.0,0.14285714285714285,1,0.0012077294685990338,0,0,0,0,0,0,1,1,0,0,0
1,101.0,1.0,1,0.001277139208173691,0,0,0,1,0,0,0,0,1,0,0
2,84.0,0.09523809523809523,1,4.4553352639786146E-4,0,0,0,0,0,0,1,1,0,0,0
12,42.0,0.5714285714285714,1,0.009389671361502348,0,0,0,0,0,0,1,1,0,0,0
2,56.0,0.09523809523809523,1,0.0019120458891013384,0,0,0,0,0,0,1,1,0,0,0
1,168.0,0.047619047619047616,1,8.051529790660225E-4,0,0,0,0,0,0,1,1,0,0,0
1,62.0,0.047619047619047616,1,0.002188183807439825,0,0,0,0,0,0,1,1,0,0,0
1,159.0,0.047619047619047616,1,0.0021598272138228943,0,0,0,0,0,0,1,1,0,0,0
1,139.0,0.047619047619047616,1,0.002105263157894737,0,0,0,0,0,0,1,1,0,0,0
1,265.0,0.047619047619047616,1,0.001277139208173691,0,0,0,0,0,0,1,1,0,0,0
1,129.0,1.0,1,0.00625,1,0,0,0,0,0,0,0,1,0,0
2,122.0,1.0,1,0.005305039787798408,1,0,0,0,0,0,0,0,1,0,0
7,45.0,0.28,1,0.001559367342392515,0,0,1,0,0,0,0,0,0,1,0
4,45.0,0.16,1,0.0038240917782026767,0,0,1,0,0,0,0,0,0,1,0
2,64.0,0.08,1,0.0029895366218236174,0,0,1,0,0,0,0,0,0,1,0
2,64.0,0.08,1,0.0037105751391465678,0,0,1,0,0,0,0,0,0,1,0
1,87.0,0.04,1,8.051529790660225E-4,0,0,1,0,0,0,0,0,0,1,0
4,42.0,0.16,1,0.004830917874396135,0,0,1,0,0,0,0,0,0,1,0
4,64.0,0.16,1,0.008639308855291577,0,0,1,0,0,0,0,0,0,1,0
1,281.0,0.04,1,7.880220646178094E-4,0,0,1,0,0,0,0,0,0,1,0
2,57.0,1.0,1,0.023255813953488372,1,0,0,0,0,0,0,0,1,0,0
2,108.0,1.0,1,0.005333333333333333,1,0,0,0,0,0,0,0,1,0,0
3,86.0,0.6,1,6.683002895967921E-4,0,0,0,0,0,0,1,1,0,0,0
1,86.0,0.2,1,9.560229445506692E-4,0,0,0,0,0,0,1,1,0,0,0
1,86.0,0.2,1,0.002105263157894737,0,0,0,0,0,0,1,1,0,0,0
2,170.0,1.0,1,0.0136986301369863,1,0,0,0,0,0,0,0,1,0,0
3,167.0,1.0,1,0.01875,1,0,0,0,0,0,0,0,1,0,0
1,97.0,0.3333333333333333,1,2.2276676319893073E-4,0,1,0,0,0,0,0,1,0,0,0
1,129.0,0.3333333333333333,1,0.002652519893899204,0,1,0,0,0,0,0,1,0,0,0
1,140.0,1.0,1,0.008130081300813009,0,0,0,1,0,0,0,0,1,0,0
1,61.0,0.5,1,0.0035087719298245615,0,0,1,0,0,0,0,0,0,1,0
1,61.0,0.5,1,0.0035087719298245615,0,0,1,0,0,0,0,0,0,1,0
1,58.0,1.0,1,9.560229445506692E-4,0,0,1,0,0,0,0,0,0,1,0
2,81.0,0.5,1,0.0037105751391465678,1,0,0,0,0,0,0,0,1,0,0
2,81.0,0.5,1,0.004319654427645789,1,0,0,0,0,0,0,0,1,0,0
1,150.0,1.0,1,7.880220646178094E-4,0,0,1,0,0,0,0,0,0,1,0
4,40.0,1.0,1,0.003129890453834116,0,0,1,0,0,0,0,0,0,1,0
1,183.0,1.0,1,0.007751937984496124,0,0,1,0,0,0,0,0,0,1,0
1,247.0,1.0,1,0.0014947683109118087,0,0,0,0,0,0,1,1,0,0,0
1,151.0,1.0,1,0.013513513513513514,0,0,1,0,0,0,0,0,0,1,0
1,252.0,0.5,1,0.0018552875695732839,0,0,1,0,0,0,0,0,0,1,0
1,252.0,0.5,1,0.0021598272138228943,0,0,1,0,0,0,0,0,0,1,0
1,81.0,0.3333333333333333,1,0.5,0,0,1,0,0,0,0,0,0,1,0
1,68.0,0.3333333333333333,1,8.051529790660225E-4,0,0,1,0,0,0,0,0,0,1,0
1,57.0,0.3333333333333333,1,0.0021598272138228943,0,0,1,0,0,0,0,0,0,1,0
2,75.0,1.0,1,4.4553352639786146E-4,1,0,0,0,0,0,0,0,1,0,0
1,52.0,1.0,1,7.880220646178094E-4,0,0,0,0,0,0,1,1,0,0,0
1,63.0,0.125,1,2.2276676319893073E-4,0,0,0,0,0,1,0,0,1,0,0
1,53.0,0.125,1,9.560229445506692E-4,0,0,0,0,0,1,0,0,1,0,0
3,63.0,0.375,1,0.0024154589371980675,1,0,0,0,0,0,0,0,1,0,0
3,151.0,0.375,1,0.00631578947368421,1,0,0,0,0,0,0,0,1,0,0
1,88.0,1.0,1,0.0049261083743842365,0,0,1,0,0,0,0,0,0,1,0
1,108.0,1.0,1,0.014084507042253521,0,0,1,0,0,0,0,0,0,1,0
1,140.0,0.5,1,0.0035087719298245615,0,0,0,1,0,0,0,0,1,0,0
1,140.0,0.5,1,0.0035087719298245615,0,0,0,1,0,0,0,0,1,0,0
1,88.0,1.0,1,2.2276676319893073E-4,0,0,0,0,0,0,1,1,0,0,0
2,104.0,1.0,1,0.010869565217391304,1,0,0,0,0,0,0,0,1,0,0
2,95.0,0.5,1,0.007692307692307693,0,0,1,0,0,0,0,0,0,1,0
1,147.0,0.25,1,0.0011235955056179776,0,0,1,0,0,0,0,0,0,1,0
1,52.0,0.25,1,7.880220646178094E-4,0,0,1,0,0,0,0,0,0,1,0
1,168.0,0.5,1,0.004651162790697674,0,1,0,0,0,0,0,1,0,0,0
1,139.0,0.5,1,0.002652519893899204,0,1,0,0,0,0,0,1,0,0,0
1,64.0,1.0,1,0.003952569169960474,0,0,0,0,0,0,1,1,0,0,0
2,79.0,0.11764705882352941,1,4.4553352639786146E-4,0,1,0,0,0,0,0,1,0,0,0
1,277.0,0.058823529411764705,1,7.82472613458529E-4,0,1,0,0,0,0,0,1,0,0,0
1,101.0,0.058823529411764705,1,0.0018552875695732839,0,1,0,0,0,0,0,1,0,0,0
7,93.0,0.4117647058823529,1,0.015317286652078774,0,1,0,0,0,0,0,1,0,0,0
1,277.0,0.058823529411764705,1,0.002105263157894737,0,1,0,0,0,0,0,1,0,0,0
1,101.0,0.058823529411764705,1,0.0021598272138228943,0,1,0,0,0,0,0,1,0,0,0
4,96.0,0.23529411764705882,1,0.01818181818181818,0,1,0,0,0,0,0,1,0,0,0
2,48.0,1.0,1,0.002554278416347382,1,0,0,0,0,0,0,0,1,0,0
2,178.0,1.0,1,0.0024154589371980675,1,0,0,0,0,0,0,0,1,0,0
2,59.0,1.0,1,0.0022471910112359553,1,0,0,0,0,0,0,0,1,0,0
2,115.0,1.0,1,0.005333333333333333,1,0,0,0,0,0,0,0,1,0,0
3,36.0,1.0,1,0.002347417840375587,0,0,0,0,0,0,1,1,0,0,0
1,153.0,0.5,1,0.0018552875695732839,0,0,1,0,0,0,0,0,0,1,0
1,104.0,0.5,1,8.051529790660225E-4,0,0,1,0,0,0,0,0,0,1,0
